Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
1975 Nairobi bombing,media/nairobi1975bombs.jpg,Source: Pinterest,,"On 1 March 1975, three bombs exploded at the OTC bus stop in Nairobi. 27 people were killed and 100 others injured. No one claimed responsibility for the incident.",17,Numbered,red,,-1.285082,36.831026,,,,
1975 JM Kariuki murder,media/JMK.jpeg,Source : africanewsonline,,"On 2 March 1975, the day after the OTC bus blast, security officials publicly arrested JM Kariuki outside the Hilton hotel. The MP was interrogated at the Kingsway House headquarters after being framed for 1 March 1975 bombing.
Later on news of the disappearance and murder of JM Kariuki became public after his body was found in Ngong Forest ending the 1 March 1975 bombing.",17,,red,,-1.318275,36.746795,,,,
1980 Norfolk Hotel bombing,media/norforkhotel.webp,Source: tuko,,"The Norfork hotel, owned by a local jewish community member, was beleived to have been bombed as a revenge mission for kenyan support to Israel Entebe Operation. 20 people were killed and 87 were injured.",17,,red,,-1.278295,36.815795,,,,
1998 United States embassy bombings,media/nairobiusembassy.jpg,Source: fbi,,"On 7 August, around 10:40 a.m., suicide bombers in a Toyota Dyna loaded with explosives forced its way in the embassies in Nairobi. The bombs detonated killing 213 people and leaving over 4000 people seriously wounded.",17,,blue,,-1.289167,36.826667,,,,
"2002 Arkia Airlines missile attack, Mombasa",media/arikaboeing.jpg,Source: wikipedia 2002 Mombasa Attacks,,"On 28 November 2002 two missiles were fired at, but missed, an Israeli passenger airliner as it took off from Mombasa airport. The boeing had 261passengers on board.",17,,green,,-4.027527,39.599638,,,,
2002 Kikambala Hotel bombing,media/paradiseattack.jpg,Source: Theguardian,,Three men in SUV forced their way into Paradise Hotel in kikambala detonating a bomb that killed 13 people and left over 80 peolple injured. Unknown group calling itself the Army of Palestine claimed responsibility for the attacks.,17,Plain,red,,-3.870507,39.806585,,,,
2011 Alshabaab Attacks,,,,,,,,,,,,,,
Mwaura's Bar in downtown Mfangano Street,media/mwauras-pub.jpg,Source: Karizmwangi.wordpress.com,,"On Monday, 24 October 2011, at around 1:15 am, a Russian-made F1 grenade detonated leaving one person dead and injured more than 20 people",17,,red,,-1.287943,36.828653,,,,
 Machakos bus terminus attack,media/The-scene-of-the-explosio-007.jpg,Source: The Guardian,,"on Monday, 24 October 2011, a grenade was tossed out of a moving vehicle into the Machakos bus terminus leaving five people dead, 59 men and 10 women  hospitalised. The attacker was arrested and sentence to life imprisonment.",17,,red,,-1.28594,36.835156,,,,
2012,,,,,,,,,,,,,,
God's House of Miracles Church,,Source: Public domain/Wikimedia,,"On Sunday, 29 April 2012, an attacker named Amar, detonated grenade at worshipers killing 1 person and leaving 11 fighting for their lives.",17,,red,,-1.277732,36.826652,,,,
"Bella Vista nightclub, Mombasa ",,Source: Public domain/Wikimedia,,"On Tuesday, 15 May 2012, three hand grenades were detonated at the Bella Vista nightclub in Mombasa, killing one and leaving 5 injured.",17,Plain,red,,-4.061139,39.664926,,,,
Sasa Boutique,,Source: Public domain/Wikimedia,,"On Monday, 28 May 2012, a blast went off from inside the Sasa Boutique in Nairobi's Moi Avenue. 27 people were injured and four were in critical condition",,Numbered,red,,-1.282774,36.822963,,,,
"Jericho Beer Garden, Mishomoroni",media/mishomoronobar.jpg,Source: Saidnuhu blogspot,,"On Sunday, 24 June 2012 at around 10 pm, a grenade was detonated to football fans watching  UEFA European Championships 2012 football match between England and Italy Killing 3 people and left 30 wounded",15,,red,,-4.020936,39.682476,,,,
