Year, attacks,Actor1,Actor2,Area1,Area2,Area3,County,Event type,Notes,Source,Source Scale,Fatalities,Geo Precision,Latitude,Longitude,Number of Records
2018,2018-01-27,Al Shabaab,Military Forces of Kenya (2013-),Ijara,Hulugho,Handaro,Garissa,Battle-No change of territory,"Two soldiers were killed after their truck ran over an Improvised Explosive Device at Handaro, Holugho sub-county, Garissa County. Three other soldiers who tried to jump off the vehicle were reportedly shot at close range by the suspected militia and were seriously wounded.",BBC,International,2,1,-1.458,40.6668,1
2018,2018-07-05,Police Forces of Kenya (2013-),Al Shabaab,Ijara,Hulugho,Handaro,Garissa,Remote violence,05 July. Several police officers were injured after their vehicle ran over a homemade bomb between Handaro and Sangailu on the Lamu-Garissa border. Al Shabaab suspected.,Daily Nation (Kenya),National,0,2,-1.458,40.6668,1
2018,2018-06-06,Police Forces of Kenya (2013-),Al Shabaab,Dadaab,Liboi,Liboi,Garissa,Remote violence,"06 June. Five Kenyan paramilitary police were killed when their vehicle struck a homemade landmine in Liboi. Al Shabaab suspected as perpetrators. Al Shabaab claims they have killed 25 Kenyan soldiers. The attack began with an IED blast, which killed 22. Three others were shot by the attackers.",Agence France Presse,National,5,1,0.3534,40.8723,1
2018,2018-07-02,Al Shabaab,,Ijara,Ijara,Boni National Reserve,Garissa,Strategic development,"Movement of forces: 02 July. 200 members of al Shabaab are spotted moving through Boni Forest in eastern Kenya, near the border with Somalia.",Xinhua,International,0,1,-1.5394,41.3314,1
2017,2017-12-30,Al Shabaab,Police Forces of Kenya (2013-),Ijara,Ijara,Ijara,Garissa,Battle-No change of territory,"Al Shabaab terrorists have set on fire two police camps in Ijara, in the latest attack from the Somalia-based militant group. The attackers also destroyed the main communication equipment used in the town before speeding off with a police land cruiser which is yet to be recovered. A senior police officer briefed on the matter has told Capital News beat that no casualty was reported in the attack.",Africa News,Regional,0,1,-1.5952,40.5144,1
2017,2017-10-09,Al Shabaab,Military Forces of Kenya (2013-),Ijara,Ijara,Boni National Reserve,Garissa,Battle-No change of territory,"On 09 October, five militants were kiled by the Kenyan Defence Force during a raid in Boni Forest. Others escaped with injuries.",Daily Nation,National,5,1,-1.5394,41.3314,1
2017,2017-03-15,Al Shabaab,Military Forces of Kenya (2013-),Ijara,Hulugho,Kolbio,Garissa,Battle-No change of territory,The KDF engaged Al Shabaab fighters at Kolbio.,Kenya Standard,National,0,1,-1.1536,41.2032,1
2017,2017-08-06,Al Shabaab,Police Forces of Kenya (2013-),Dujis,Iftin,Garissa,Garissa,Battle-Non-state actor overtakes territory,Al Shabab forces attacked the village of Damase in Garissa county and seized it fully after brief fighting with Kenyan police officers who fled the area during the fighting.,Somali Memo,Regional,0,2,-0.4536,39.6461,1
2017,2017-05-13,Al Shabaab,Police Forces of Kenya (2013-),Dujis,Iftin,Garissa,Garissa,Battle-Non-state actor overtakes territory,"Heavily-armed al-Shabab mujahideen movement forces have launched a major attack on a village on the outskirts of the city of Garissa [northeast Kenya].Reports from the Somali-dominated NFD [Northern Frontier Districts] of Kenya say the attack caused heavy casualties.Kenyan government officials have not officially commented on the death toll from the attack. Sources say al-Shabab forces seized control of the village, known as Amuma, with Kenyan police officials also confirming the attack to the media.",BBC Monitoring Service: Africa,Regional,10,2,-0.4536,39.6461,1
2017,2017-08-20,Military Forces of Kenya (2013-),Al Shabaab,Ijara,Ijara,Boni National Reserve,Garissa,Remote violence,The Kenya Defence Forces [KDF] on Sunday [20 August] resumed bombing Boni Forest which Al Shabaab has used as a base to launch attacks.,Daily Nation (Kenya),National,0,1,-1.5394,41.3314,1
